,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
780,auto,few,midsize,2007,18.0,27.0,2.0,0.02696877975890554,-0.024464290713487276
781,auto,medium,large,2008,12.0,16.0,5.3,0.02560211531261483,-0.017525542041404975
782,lock-up,medium,midsize,1988,18.0,26.0,2.9848,0.03469079696936337,-0.02269801943572701
783,manual,few,small,1985,29.0,39.0,1.6072,-0.06079663141516053,-0.013004601215596486
784,auto,few,midsize,2003,19.0,23.0,2.0,0.029166716794466585,-0.022888937154346367
785,auto,medium,midsize,1999,17.0,25.0,3.5,0.03139102648971389,-0.021949618460693196
786,manual,medium,large,1994,15.0,20.0,4.2968,0.025999614121913706,-0.019064896557810847
787,auto,medium,midsize,2006,14.0,17.0,3.8,0.02608719101234278,-0.019080589977894812
788,manual,medium,large,2003,15.0,19.0,4.2,0.027071698769654266,-0.020395167156198383
789,manual,few,small,1989,21.0,31.0,2.214,-0.05503197968423998,-0.07453041107379069
790,manual,few,large,1985,21.0,25.0,2.296,0.01036881170310975,-0.03251242992563248
791,lock-up,few,midsize,1985,21.0,29.0,2.4764,-0.055969776896090354,-0.07658799402609429
792,auto,medium,small,2002,17.0,27.0,3.8,0.028640055475402833,-0.020929999603427334
793,auto,medium,small,2000,18.0,29.0,3.4,-0.0029410965331699776,-0.045608138127142775
794,auto,medium,large,1991,14.0,16.0,3.9196,0.02404029182374482,-0.01602691858419645
795,manual,few,small,2000,25.0,36.0,1.9,-0.07575015074477118,-0.08130313746131951
796,lock-up,medium,midsize,1992,18.0,25.0,2.9684,0.03256713540723612,-0.02072685788948176
797,auto,few,midsize,1999,19.0,24.0,2.0,0.02994798382963535,-0.020742599340702567
798,auto,medium,midsize,2006,14.0,19.0,4.2,0.027478302319290063,-0.0195195273309617
799,manual,few,large,1999,21.0,26.0,2.2,0.026623448170473338,-0.02220756729576622
800,lock-up,medium,large,1987,13.0,16.0,5.74,0.023921555405191523,-0.016663993942370236
801,auto,medium,midsize,1998,18.0,23.0,3.0,0.028541930678181747,-0.020367000922467
802,manual,medium,small,1985,14.0,19.0,3.4276,-0.018129433289316085,0.0038527572233021026
803,auto,medium,midsize,2006,13.0,19.0,4.2,0.02750152311919614,-0.019767560342411686
804,manual,medium,large,1995,13.0,17.0,5.002,0.023870352885884683,-0.01693872983110131
805,manual,few,small,2008,19.0,26.0,2.4,0.02420280438470394,-0.026781906179968677
806,auto,medium,small,2004,18.0,26.0,3.0,0.027102243451202972,-0.026099238358578514
807,lock-up,few,large,1993,18.0,22.0,2.296,0.028368968153158407,-0.01861921744832254
808,lock-up,medium,large,1986,14.0,17.0,4.2968,0.023802562993065844,-0.01730244669625778
809,lock-up,medium,large,1996,11.0,16.0,5.2152,0.02383664196983665,-0.017119601666831703
810,lock-up,few,small,1985,17.0,22.0,2.5584,0.005516206826125382,-0.007287690289286074
811,lock-up,medium,large,1995,14.0,19.0,4.92,0.026297801959748828,-0.01852282650679625
812,lock-up,medium,large,1990,11.0,17.0,5.74,0.02393725566558156,-0.01657975723623226
813,manual,medium,large,1985,10.0,13.0,5.2152,0.023777731381018238,-0.017435681948370658
814,manual,few,small,2002,23.0,30.0,2.0,0.015888245419207206,-0.0319562956677474
815,auto,medium,midsize,2007,16.0,23.0,4.2,0.026042214898407683,-0.02218170509894457
816,manual,medium,large,1990,11.0,15.0,5.74,0.023982590355287384,-0.016336513942374592
817,auto,medium,small,2007,18.0,27.0,2.5,0.027034687902288794,-0.02450026338603803
818,manual,few,large,1987,18.0,24.0,2.0008,0.034379407705532064,-0.02169442351524846
819,lock-up,few,small,1994,18.0,26.0,1.9844,0.0321906882699117,-0.021641569339491303
820,lock-up,medium,large,1993,13.0,16.0,3.9196,0.023836112747964586,-0.01712243935005895
821,lock-up,few,midsize,1985,21.0,24.0,1.7876,0.010356052374183349,-0.033423419997726425
822,manual,few,large,2000,16.0,20.0,2.4,0.029040235300364828,-0.020252310755533146
823,auto,medium,midsize,2005,10.0,13.0,5.3,0.025562532137015613,-0.01782299603266002
824,manual,medium,large,1990,15.0,17.0,4.92,0.02398793694540327,-0.01630782788188704
825,auto,medium,large,2007,13.0,17.0,5.3,0.025966899323649498,-0.017908626951707737
826,auto,medium,small,2005,18.0,26.0,3.0,0.026988725639304482,-0.02607417448349846
827,auto,few,midsize,2004,18.0,24.0,2.4,0.028786749477809764,-0.024559365818442903
828,auto,medium,large,1999,15.0,21.0,3.8,0.028108881514102884,-0.01955384935261515
829,manual,few,small,1998,21.0,30.0,2.4,-0.005509277379966038,-0.04610147714273538
830,lock-up,medium,large,1991,15.0,20.0,4.2968,0.016986132166293993,-0.014069704773051972
831,manual,medium,small,1992,16.0,23.0,2.7880000000000003,0.028326512890099086,-0.019757040860890678
832,auto,few,small,1998,25.0,30.0,1.5,-0.021051249974141983,-0.05343656517696888
