,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
987,48,Male,5,2200,East,7,4,Yes,1,-451.890955878058,27.977211486692706
988,28,Female,5,1990,East,8,4,Yes,1,-241.88691190682164,21.504715135776987
989,60,Male,5,620,East,7,3,No,2,1125.8431937066073,-55.32133910673373
990,37,Female,2,983,West,7,5,No,6,761.7211683295155,-70.33634578409531
991,49,Female,3,1400,West,9,4,No,6,346.05178189693027,-30.206393618922764
992,63,Female,3,820,West,10,3,No,6,925.5458717544822,-53.740326286717405
993,52,Male,3,700,West,8,2,No,9,1045.7590581196635,-56.282490819344865
994,46,Female,2,450,West,10,5,No,9,1294.4970970048203,-85.99697948596155
995,35,Male,3,1063,East,10,4,No,11,681.4438740961078,-70.61728005601563
996,36,Male,5,2300,East,8,4,No,6,-551.510901986974,37.718713849337355
997,60,Female,3,450,West,9,4,Yes,2,1293.8056695456442,-95.02366381562824
998,47,Male,4,4500,East,8,4,No,6,-2740.7244860108094,259.78145492847017
999,68,Female,5,1000,West,9,2,Yes,6,745.5567296436111,-51.93445441187844
