,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
827,65,Male,3,528,East,8,3,No,6,-7.354818918022778,14.156394582933387
828,52,Male,5,4800,West,10,5,No,3,1783.678214952603,-10.31421563230448
829,35,Female,2,938,East,8,4,No,3,-7.856183062213425,15.415747077040823
830,55,Female,3,2500,East,9,5,No,3,-7.862583049237127,15.432011754535582
831,63,Female,2,1300,West,9,4,No,6,-7.809425031159767,15.29720682097567
832,22,Male,3,500,West,10,5,Yes,2,-7.443309991307685,14.387270972305092
833,56,Female,5,2500,West,10,4,No,3,-7.862565304375709,15.431966653930823
834,40,Male,3,2700,East,9,5,No,2,-8.960734668591838,-749.9015572414465
835,73,Male,3,860,East,5,2,No,3,-7.858417517039619,15.421426131076878
836,65,Female,3,1000,West,9,4,No,3,-7.860309550493116,15.426234242976966
837,50,Female,5,3100,West,8,3,No,3,-8.87867567179389,-391.26116010593495
838,36,Male,3,1680,East,8,3,No,9,-7.7712170831302725,15.200432793788368
839,54,Male,3,2700,East,8,4,No,3,-8.99489043469876,-739.1283875342266
840,69,Male,3,3500,West,9,3,No,6,-6.419410528883871,22.839729396472496
841,60,Female,5,1200,West,8,4,Yes,2,-7.856627493490796,15.416885275469676
842,22,Male,5,450,West,6,3,No,3,-7.523101226598779,14.586794705946506
843,46,Male,3,1000,East,8,4,No,9,-7.862872497459241,15.432747401731447
844,45,Male,3,1200,East,7,3,No,5,-7.85769524194471,15.419597170525536
845,28,Female,5,1600,West,6,3,No,1,-7.803374765667242,15.282026991446244
846,44,Female,2,450,East,5,4,No,9,-7.566510610751151,14.695260088660294
847,72,Female,5,620,East,7,3,No,6,-7.623051148413203,14.83120585350935
848,69,Female,2,650,West,5,2,No,6,-7.6770675246636095,14.967168495577967
849,38,Male,2,3000,West,10,4,Yes,2,-9.121029760004824,-486.254821409084
850,52,Male,2,1300,West,3,4,No,6,-7.811279807704874,15.30191009152991
851,27,Female,5,400,West,7,5,Yes,3,-7.689457985474354,15.001435076638211
852,59,Male,3,2375,West,9,3,No,6,-7.860068995504989,15.425622632522044
853,33,Male,5,600,West,7,5,Yes,6,-7.472150792999922,14.451852767379389
854,47,Male,2,2700,West,8,3,No,6,-8.976911429864323,-745.1087425773959
855,45,Female,5,1800,West,6,4,No,2,-7.831464021968245,15.353199817081391
856,53,Male,4,4000,West,7,4,No,6,-0.9611336578817709,552.5976224560593
857,63,Male,3,1050,East,8,2,No,3,-7.862565181848536,15.431966317837302
858,82,Male,3,1600,West,8,3,Yes,9,-7.74659060912833,15.138126196342716
859,50,Female,3,1100,West,7,4,No,2,-7.861697308167004,15.429760899012727
