,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
627,26,Female,5,450,West,9,3,No,6,-1.174734686768988e-05,1.3634493184509982e-05
628,50,Male,3,3000,West,9,5,No,3,-1.899583494795032e-05,3.5717658053640466e-05
629,52,Female,3,1234,East,9,4,No,3,-6.115735466703798e-05,2.068782178552129e-07
630,20,Female,5,1100,West,9,4,Yes,1,-7.277745402818094e-05,-8.478548182780375e-05
631,38,Female,5,3225,West,8,4,No,2,0.00011180053866481111,-0.00021404195905427859
632,74,Female,2,1100,West,10,4,No,2,1.1138020211326918e-05,-8.922415857463144e-05
633,38,Female,3,450,West,9,4,Yes,3,-2.787588756828612e-05,1.4487606140246204e-05
634,67,Female,5,2000,East,8,4,No,2,-0.1430390610664381,-0.00130621753229462
635,44,Female,3,1100,West,10,4,No,2,-8.954563960867322e-05,-8.389853510221838e-05
636,70,Male,2,1100,East,5,3,No,9,-2.3674100294262045e-05,-8.738278484692745e-05
637,63,Male,2,1200,West,6,4,No,6,5.7310883403513195e-05,-6.059453702134109e-06
638,43,Male,5,4200,West,8,4,No,3,-4.5525412065408964e-05,-3.60799444907162e-05
639,32,Male,4,8750,West,10,5,Yes,6,-2.8805764649140683e-05,-9.445975703396832e-07
640,59,Male,3,1500,East,7,2,Yes,9,-6.027403322466772e-05,-9.729637597100086e-06
641,82,Female,1,1200,East,6,2,No,6,-2.4039556152888934e-05,-1.756453481899915e-06
642,85,Female,3,2000,West,5,2,No,3,-0.1429460894520888,-0.0013111352453823721
643,78,Female,3,680,West,10,3,No,6,-3.811012104926702e-05,-5.410194724023501e-05
644,88,Female,2,1000,East,8,3,No,6,2.5606051623617773e-05,2.242573764251431e-05
645,69,Male,2,1100,West,10,3,No,6,-1.5715479977137352e-06,-8.855189085116851e-05
646,47,Male,5,2200,East,9,5,No,9,-4.823418065932895e-05,6.198546212178549e-06
647,65,Female,2,795,West,10,3,No,6,-5.252874331972135e-05,-0.00031264936022959607
648,33,Male,3,1063,East,8,4,No,6,-2.125281748022742e-05,1.1292286337869646e-05
649,39,Male,5,2300,East,8,4,No,2,-7.696129561003696e-08,2.1950484216090674e-05
650,59,Female,3,2125,West,8,3,No,3,-5.701708819872271e-06,7.658790331377822e-06
651,73,Female,3,2000,West,10,3,No,2,-0.14299226142922578,-0.0013086929864767338
652,45,Male,2,1500,East,6,4,Yes,2,-2.566873393291266e-05,-1.1560071596593955e-05
653,78,Female,2,4500,West,9,2,Yes,1,-2.411745893399903e-05,-8.419589714867005e-05
654,47,Male,5,2125,West,8,3,No,3,4.7910996357825204e-05,4.822966907697808e-06
655,25,Male,3,2000,West,9,4,No,9,-0.1430260045899827,-0.0013069081406538504
656,41,Male,5,4500,West,9,4,No,5,-4.228838805597681e-05,-8.323475284439942e-05
657,82,Male,2,1500,West,10,3,No,2,-2.9639259155421813e-06,-1.2761033684363679e-05
658,64,Female,3,1100,West,9,3,No,3,-8.325704978127783e-05,-8.423116764501303e-05
659,33,Female,3,1050,East,9,2,No,11,2.99313704848047e-05,8.58491839782553e-06
660,53,Female,3,450,East,8,3,No,2,3.532934840569164e-05,1.1144389484865665e-05
661,59,Male,5,2125,West,9,4,No,3,1.9963928596348912e-05,6.301216309673512e-06
662,65,Female,3,1100,East,8,4,No,3,-7.09220559129281e-05,-8.488362240244295e-05
663,72,Female,2,880,East,5,3,No,3,2.8374644944500864e-05,0.00017750419545576983
664,89,Male,4,1800,East,7,1,Yes,3,-2.2833428338115726e-05,-5.7177240419328854e-06
665,76,Female,1,500,East,9,4,No,3,-4.655475098543776e-05,-3.130601776778899e-05
666,26,Female,5,1200,West,10,5,Yes,6,-1.1174345749077231e-05,-2.4369538439497506e-06
667,36,Male,3,1400,East,5,3,No,6,-0.00011164365107339206,-5.3764164848084384e-05
668,40,Female,4,1700,West,9,3,No,5,2.261398895104291e-05,8.876215018727587e-05
669,79,Male,2,1600,West,5,4,No,6,5.717872434383726e-05,-4.194143901278807e-06
670,38,Male,2,2300,West,10,2,Yes,2,-4.860349339411756e-05,2.4517276471038807e-05
671,20,Female,5,1750,West,10,4,Yes,2,1.8571737267701532e-05,3.905586011962101e-05
672,28,Female,4,2150,West,9,5,No,3,2.5086820222377543e-05,4.79526133546555e-06
673,21,Female,5,660,West,9,4,No,2,-4.009617234361322e-05,-5.39969022611414e-05
674,28,Female,5,1500,East,7,4,No,1,-2.576557960121952e-05,-1.155494898330207e-05
675,52,Male,5,3800,East,7,4,Yes,1,-2.260403065593556e-05,5.3707544031173846e-06
676,51,Female,3,1500,West,10,4,No,2,2.935688855934408e-05,-1.4470630738488264e-05
677,33,Female,3,770,West,8,4,No,6,-0.00011650355982466623,-0.0002689373588127819
678,75,Female,2,1625,West,10,3,No,2,-4.372050042729479e-05,4.718496685710683e-06
679,56,Female,5,1625,East,8,4,No,5,-2.9244224668582674e-05,4.48064557442838e-06
680,48,Female,3,813,West,8,4,No,6,-0.0001463073310963535,-0.0003076889778915459
681,60,Female,5,2125,West,8,5,No,6,6.14398749411325e-05,4.10736207693412e-06
682,57,Male,3,1400,East,8,4,No,9,-0.00011505080576989374,-5.3583944701611486e-05
683,74,Male,2,1150,East,8,5,No,1,4.9363947524099304e-05,-5.639103568169645e-06
684,67,Female,5,813,East,7,4,No,6,-7.613888050884282e-05,-0.0003114005111033713
685,58,Female,4,2000,West,3,3,No,6,-0.14305885632109713,-0.0013051704610788778
686,69,Male,3,850,East,5,2,No,6,5.2664994994935845e-05,-1.1604000354978309e-06
687,57,Male,3,2000,East,9,3,No,5,-0.143020648739472,-0.0013071914364268422
688,56,Female,5,500,West,9,4,No,2,-3.4467382596512455e-05,-3.194537447095272e-05
689,27,Male,3,2300,East,9,5,Yes,6,-1.982761868166499e-05,2.2995187643575732e-05
690,27,Female,5,400,East,7,2,No,2,-1.252372254134032e-05,-1.421866719325369e-05
691,67,Female,3,1650,East,9,4,No,1,-4.5047380828588605e-05,4.39970020642623e-06
692,35,Female,2,2000,West,10,4,No,6,-0.14300252183576517,-0.0013081502519441176
693,79,Female,2,630,East,7,3,No,6,-3.3955126421975766e-06,-5.5938164421492215e-05
694,49,Male,5,4000,West,8,4,No,2,-4.011517075647437e-05,9.95674139506528e-06
695,61,Female,3,500,East,8,2,No,6,-4.659681966362981e-05,-3.130379256149199e-05
696,42,Female,3,800,West,5,3,No,6,-7.436331536540657e-05,-0.00031149442893219775
697,41,Male,3,2375,West,8,4,No,5,5.4999737220874645e-05,8.679726167491741e-05
698,34,Male,5,100,West,7,2,Yes,5,3.72213871853138e-05,-3.117787127502453e-06
699,63,Male,2,1650,West,7,3,No,3,3.493717885619598e-05,2.707115885347405e-07
700,47,Female,5,3500,West,9,5,No,6,-3.55896822262533e-05,-3.894522827393346e-06
701,60,Female,5,4500,East,9,4,Yes,2,2.6478831650758157e-05,-8.687216848482852e-05
702,32,Female,5,3300,West,9,4,Yes,2,0.0001276503700285113,-0.0002887757088544732
703,18,Female,5,65,West,9,5,No,1,-3.134966434903841e-05,5.092522757689626e-07
704,45,Male,5,5500,West,8,4,Yes,3,-3.67137229210974e-05,-5.263083270451435e-07
705,67,Male,5,860,East,6,3,Yes,9,2.214084557844269e-05,4.5416311014387605e-07
706,22,Female,5,400,West,7,5,No,3,-5.236508427498078e-06,-1.4604121581602568e-05
707,33,Male,5,3000,West,9,4,No,3,-2.957279899574462e-05,3.6277122495445596e-05
708,41,Female,4,1313,West,9,5,No,6,0.0007451363868290062,2.3312497036076508e-05
709,65,Male,5,660,East,3,2,No,9,-2.620627911583025e-06,-5.59791510260782e-05
710,57,Male,3,7000,West,10,4,No,9,5.27703206904713e-05,-5.259533194676425e-06
711,84,Male,4,1100,West,9,2,Yes,3,2.028748157085602e-05,-8.970811581578142e-05
712,58,Male,2,2000,West,8,4,No,3,-0.14305963008844963,-0.0013051295329613924
713,29,Male,3,1100,East,7,4,No,9,-4.365343460624015e-05,-8.632598563645953e-05
714,69,Female,5,2650,West,10,5,No,3,-3.0437023785587374e-05,1.1246557255990735e-05
715,66,Male,3,563,East,7,3,No,9,-2.0224265530486594e-05,-4.701648014286685e-05
716,57,Male,3,3500,West,8,4,No,6,-3.3877698120653396e-05,-3.985077567948386e-06
717,35,Male,4,1000,West,9,4,No,1,-0.0024865366861813454,0.26725113928215194
