,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
18394,manual,few,midsize,2004,22.0,29.0,2.3,4.583282138670703,-14.526051888280941
16327,auto,medium,midsize,2002,17.0,21.0,3.0,-8.05790010087843,-5.813800803733075
9317,manual,medium,large,1993,15.0,16.0,4.92,-6.242009143534385,10.61944818895196
20087,auto,few,small,2006,21.0,27.0,2.0,-0.4074330341724612,-14.807163209895638
268,manual,few,small,1985,24.0,30.0,1.7876,20.343350756481605,0.8854584695194289
2365,lock-up,medium,large,1986,15.0,20.0,6.2156,3.0117943027283376,13.821759442260294
17571,auto,medium,midsize,2003,13.0,17.0,5.3,-15.321857081016178,3.039921103066108
20150,auto,medium,small,2006,19.0,27.0,2.5,-3.863092173319921,-13.707696610037477
1542,manual,few,small,1985,19.0,24.0,1.804,10.37303517695689,9.583168813484564
2908,manual,medium,small,1987,16.0,22.0,2.4928,3.3802912462864163,11.535582585864278
10866,lock-up,few,midsize,1995,21.0,31.0,1.9024,10.298030695068592,-3.633263315371581
17071,manual,few,small,2003,23.0,29.0,2.0,5.257897572811136,-14.31033899978596
11803,manual,few,small,1996,26.0,36.0,1.6072,17.78728475010855,-8.15715301467222
2174,auto,medium,midsize,1986,18.0,26.0,2.9848,10.107111160019723,7.746522719150401
21191,manual,medium,small,2007,17.0,24.0,3.5,-8.22904404865215,-11.532600561383529
2579,manual,few,small,1986,23.0,33.0,2.214,20.06935479819839,1.104412254865712
21313,auto,medium,small,2007,21.0,29.0,2.5,1.9361370712111052,-17.572118644455255
22364,auto,many,small,2008,9.0,14.0,6.5,-24.552974897258636,-2.9836820948409897
1981,manual,few,small,1986,23.0,29.0,1.7876,19.651378787241008,0.517811581929957
15414,auto,few,midsize,2001,23.0,33.0,1.9,10.300188737370522,-14.745587900400455
10,lock-up,medium,small,1985,18.0,24.0,2.6896,9.226123962082035,10.660054003497006
22682,auto,medium,midsize,2008,16.0,24.0,3.5,-9.504846184581735,-12.601542084266645
13823,auto,few,large,1999,18.0,23.0,2.5,-1.267122962770792,-3.1252079432304765
16321,manual,few,midsize,2002,24.0,33.0,2.0,9.210889096677771,-16.670488067548966
11070,lock-up,medium,small,1995,18.0,26.0,2.9684,3.9479005187050995,-1.1199770948108714
20123,auto,medium,small,2006,15.0,22.0,4.2,-10.375183902105269,-9.315912990424575
18028,auto,medium,small,2004,18.0,26.0,3.0,-2.4998923237273707,-10.685887188074338
5060,manual,few,small,1989,21.0,27.0,2.0008,10.79727618925032,3.7030239711541273
8857,lock-up,few,small,1993,23.0,26.0,1.5908,9.137995008268508,-0.7432737655001587
10453,lock-up,medium,large,1994,15.0,19.0,6.478,-4.926937110748714,6.107711011575971
6228,manual,few,midsize,1990,21.0,29.0,2.1812,13.52234115579766,0.16254793051574473
7755,manual,few,small,1991,17.0,22.0,2.296,1.8588164843250858,7.212217185916089
8254,manual,medium,large,1992,17.0,23.0,2.8372,2.230101920548935,5.6736689689470925
20759,auto,medium,large,2006,14.0,17.0,5.3,-18.492841383536106,-1.7134774162583573
10268,lock-up,few,small,1994,25.0,33.0,1.4924,15.894167876183397,-5.077880545635149
10547,manual,few,small,1995,18.0,26.0,1.8368,4.1938178294824855,-1.0709675416279691
4834,lock-up,few,small,1988,19.0,26.0,2.0008,8.934853194100222,6.315975612836815
5384,lock-up,few,large,1989,18.0,26.0,2.4764,7.366413066796622,5.774659101962493
8185,manual,few,midsize,1992,19.0,24.0,1.8368,4.692085679295908,3.5693593529544607
14754,auto,medium,large,2000,13.0,15.0,3.9,-13.089128182471049,5.3590186223957526
5657,manual,medium,small,1989,16.0,22.0,2.4928,3.2028608428663357,9.12359104539149
