,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
978,auto,medium,midsize,2005,14.0,19.0,4.6,10.201527282148252,-1.0439347711246871
979,auto,medium,midsize,2002,14.0,19.0,4.0,7.462161265725964,-2.292380912308123
980,manual,few,midsize,2007,22.0,26.0,2.4,7.199170893740904,9.66162246108536
981,auto,medium,midsize,2003,9.0,12.0,5.3,12.299759296861438,-9.621813275385493
982,manual,few,small,1985,26.0,35.0,1.4924,-16.852456633525488,8.02230411248238
983,manual,few,midsize,1989,21.0,31.0,2.4928,-10.453883936362145,4.411967405679457
984,auto,medium,large,1998,9.0,13.0,6.7,7.654072664627874,-11.425492803515322
985,auto,medium,small,1987,13.0,16.0,5.5432,-4.442741998601432,-12.067679977445245
986,lock-up,medium,small,1992,17.0,22.0,3.2144,-3.404320429226049,-3.023815131757217
987,lock-up,medium,small,1986,17.0,24.0,3.7884,-9.461645427800004,-4.435910603939899
988,lock-up,few,small,1985,21.0,24.0,1.6072,-11.941547039758193,-2.5328438129345376
989,auto,medium,midsize,2002,15.0,22.0,3.9,6.14903921702725,0.4102356515674652
990,auto,medium,midsize,2000,11.0,15.0,4.7,7.977383220927614,-7.730866659672264
991,auto,medium,large,2005,15.0,20.0,4.3,9.552643668175929,0.2232820335113609
992,auto,medium,midsize,1998,15.0,23.0,3.4,2.1888346360455966,-0.6049895910973531
993,manual,few,midsize,2003,21.0,27.0,2.4,3.4303217744957277,7.804577494236044
994,lock-up,medium,small,1988,15.0,23.0,5.74,-6.766841106425797,-5.735623247474827
995,lock-up,medium,large,1993,14.0,16.0,3.9196,0.4748947223229,-8.647365402614557
996,manual,few,small,1985,31.0,41.0,1.5908,-20.36287145377069,14.932095651424287
997,lock-up,medium,large,1993,13.0,17.0,5.74,0.6265095358939976,-8.65250355179273
998,manual,medium,midsize,2004,18.0,27.0,3.0,5.295558076917208,6.628710217887295
999,auto,medium,large,2003,13.0,17.0,5.3,9.465331478878737,-4.0193369075858225
