,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
11362,lock-up,few,small,1996,23.0,32.0,1.4924,10.725882530212402,-24.084300994873047
23357,auto,medium,midsize,2008,12.0,17.0,6.0,-33.86351776123047,12.713461875915527
9255,manual,medium,large,1993,11.0,16.0,5.74,-8.733065605163574,30.172733306884766
13253,auto,medium,midsize,1998,15.0,19.0,4.3,-10.200139045715332,9.642333030700684
7306,lock-up,few,midsize,1991,18.0,24.0,2.1648,14.639634132385254,3.8717546463012695
20645,manual,few,large,2006,18.0,25.0,2.8,-18.157258987426758,-17.17022132873535
15755,auto,medium,midsize,2001,14.0,17.0,3.5,-20.974624633789062,17.75625991821289
1996,manual,few,small,1986,23.0,29.0,1.7876,30.72211265563965,-16.770931243896484
14086,auto,medium,midsize,1999,14.0,17.0,4.0,-17.696306228637695,20.392250061035156
20881,auto,few,midsize,2006,19.0,24.0,2.3,-19.5264892578125,-16.962820053100586
14671,manual,few,large,2000,19.0,24.0,2.4,-5.0130510330200195,-7.237884998321533
14369,auto,few,small,2000,19.0,27.0,2.2,-2.7757554054260254,-13.421303749084473
6879,auto,medium,large,1990,14.0,16.0,3.9196,-0.7220321893692017,29.704450607299805
4221,lock-up,medium,midsize,1988,17.0,24.0,2.9684,20.632497787475586,6.470137119293213
1693,lock-up,few,large,1985,18.0,24.0,2.4764,29.23829460144043,7.95088005065918
36,manual,medium,small,1985,17.0,24.0,2.8372,28.01612091064453,8.823267936706543
8429,lock-up,medium,large,1992,14.0,17.0,3.9196,-3.3307619094848633,27.48451805114746
255,auto,few,small,1985,16.0,20.0,1.9844,26.22106170654297,17.951698303222656
14249,auto,few,small,2000,23.0,31.0,1.6,3.4854490756988525,-25.001693725585938
1066,lock-up,medium,large,1985,11.0,15.0,4.9528,0.5012134313583374,36.8951416015625
14351,auto,few,small,2000,23.0,30.0,1.8,2.38592267036438,-24.563823699951172
7742,manual,few,small,1991,22.0,29.0,1.5908,17.332935333251953,-16.441246032714844
3407,lock-up,few,midsize,1987,21.0,24.0,1.7876,32.15917205810547,1.936358094215393
14213,auto,medium,small,2000,16.0,23.0,4.0,-11.099750518798828,0.028820553794503212
19315,manual,few,small,2005,21.0,29.0,1.8,-6.486729621887207,-25.542360305786133
