,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
11644,lock-up,medium,large,1996,11.0,16.0,5.7564,0.008455360071386914,0.4785502589632937
7027,manual,few,small,1991,22.0,29.0,2.0008,-0.3639836278726955,-0.4380092399500919
21097,manual,few,midsize,2006,18.0,24.0,2.5,0.4410976127675049,-0.3088641976757255
7592,manual,few,small,1991,21.0,31.0,2.4928,-0.3370141451128119,-0.4336496560014379
18815,auto,medium,midsize,2004,14.0,17.0,4.8,0.510845459490649,0.3146220155406221
8143,manual,few,midsize,1992,21.0,29.0,2.1812,-0.28724267025704947,-0.3573850688323019
13772,auto,medium,midsize,1999,15.0,24.0,2.8,0.12439950929790175,-0.0492697068301411
17425,auto,medium,large,2003,13.0,17.0,5.4,0.4307926743183665,0.3144742392810854
16921,manual,few,small,2003,21.0,29.0,2.0,0.18975137652309745,-0.41367186889012075
9701,manual,few,small,1994,23.0,30.0,2.214,-0.21716511554571993,-0.4343051995312241
23475,auto,medium,midsize,2008,12.0,18.0,5.6,0.40442931020521855,0.2022618247409186
11362,lock-up,few,small,1996,23.0,32.0,1.4924,-0.14697894917221402,-0.4337712571479277
23357,auto,medium,midsize,2008,12.0,17.0,6.0,0.3910589802927109,0.20564700003986486
9255,manual,medium,large,1993,11.0,16.0,5.74,-0.12556731654584993,0.5545019536702622
13253,auto,medium,midsize,1998,15.0,19.0,4.3,0.11655797990427597,0.31997949904956935
7306,lock-up,few,midsize,1991,18.0,24.0,2.1648,-0.33059828599438834,0.022052453317922664
20645,manual,few,large,2006,18.0,25.0,2.8,0.4386244198642568,-0.3459446290385022
15755,auto,medium,midsize,2001,14.0,17.0,3.5,0.33505311179606545,0.3326525690850628
1996,manual,few,small,1986,23.0,29.0,1.7876,-0.38950416741774846,-0.3357816090855161
14086,auto,medium,midsize,1999,14.0,17.0,4.0,0.19629084117310372,0.3759397464341732
20881,auto,few,midsize,2006,19.0,24.0,2.3,0.4194622766876392,-0.3276009349999573
14671,manual,few,large,2000,19.0,24.0,2.4,0.13417111897984413,-0.18883778662190256
