,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
482,53,Male,3,2000,East,7,4,No,1,0.3118563372047567,0.08671455532164957
483,80,Male,5,2000,East,6,3,No,1,0.2909612477488398,0.08804700302987256
484,35,Female,5,1900,East,8,3,No,6,0.26397068993444694,0.17165991670472944
485,73,Female,3,1500,East,9,4,No,3,0.03934311020169757,0.468680503947641
486,66,Male,3,823,East,8,4,No,3,-0.3350338481557503,-0.10929383770414192
487,47,Female,3,813,West,9,3,No,2,-0.3408687202016332,-0.12314551939171621
488,72,Female,3,1080,East,8,3,No,3,-0.23471068951374124,0.2142967541497564
489,28,Male,5,3000,East,8,5,No,6,0.4078110804161785,-0.32784497694571235
490,42,Male,4,5000,West,9,3,Yes,5,0.3403796999170294,-0.30812156399996865
491,50,Female,5,5000,West,9,4,No,6,0.3447281834961144,-0.3120926248759453
492,69,Male,2,2200,West,9,4,Yes,5,0.33969410568675834,-0.06455711380354268
493,64,Female,3,750,West,10,4,No,3,-0.41933966703185416,-0.23777475212197094
494,28,Male,5,3000,West,8,4,No,5,0.4099753880229276,-0.32979327968215183
495,49,Female,3,1200,West,10,4,No,2,-0.17163450053411575,0.3719729638967568
